Date,Adj Close AMZN,Adj Close CAT,Adj Close DE,Adj Close EXC,Adj Close GOOGL,Adj Close JNJ,Adj Close JPM,Adj Close META,Adj Close PFE,Adj Close PG,Close AMZN,Close CAT,Close DE,Close EXC,Close GOOGL,Close JNJ,Close JPM,Close META,Close PFE,Close PG,High AMZN,High CAT,High DE,High EXC,High GOOGL,High JNJ,High JPM,High META,High PFE,High PG,Low AMZN,Low CAT,Low DE,Low EXC,Low GOOGL,Low JNJ,Low JPM,Low META,Low PFE,Low PG,Open AMZN,Open CAT,Open DE,Open EXC,Open GOOGL,Open JNJ,Open JPM,Open META,Open PFE,Open PG,Volume AMZN,Volume CAT,Volume DE,Volume EXC,Volume GOOGL,Volume JNJ,Volume JPM,Volume META,Volume PFE,Volume PG
02/01/2018,59.45050049,133.8427277,142.1653442,22.14145851,53.46667862,115.6824265,88.56634521,180.7296143,25.98275375,75.27975464,59.45050049,157.0399933,158.0099945,28.23823166,53.66049957,139.2299957,107.9499969,181.4199982,34.57305527,90.65000153,59.5,159.3899994,158.0599976,28.30955887,53.79899979,139.9499969,108.0199966,181.5800018,34.6489563,91.93000031,58.52550125,156.0299988,156.5500031,28.00285339,52.65100098,138.7200012,106.8099976,177.5500031,34.38330078,90.55000305,58.59999847,158.3000031,156.6699982,28.20256805,52.65100098,139.6600037,107.6299973,177.6799927,34.51612854,91.91999817,53890000,5108400,1897600,7224506,31766000,6842100,13578800,18151900,17059833,7558900
03/01/2018,60.20999908,134.047287,142.8131104,21.8450489,54.37887573,116.7874985,88.65659332,183.9672546,26.17526817,75.18840027,60.20999908,157.2799988,158.7299957,27.86020088,54.57600021,140.5599976,108.0599976,184.6699982,34.82922363,90.54000092,60.2745018,157.4900055,159.1000061,28.4450779,54.80500031,140.6799927,108.4899979,184.7799988,34.88614655,91.08999634,59.41500092,155.3999939,157.6399994,27.65335274,53.67150116,138.8999939,107.4800034,181.3300018,34.37381363,90.51999664,59.41500092,157.0399933,157.8899994,28.08131218,53.69649887,139.3600006,107.8600006,181.8800049,34.58254242,90.73000336,62176000,4146100,1392300,6750350,31318000,5350500,11901000,16886600,14183151,5863600
04/01/2018,60.47949982,135.8882294,143.6319122,21.53745079,54.59010315,116.7791901,89.92665863,183.6285553,26.23231316,75.71989441,60.47949982,159.4400024,159.6399994,27.46790314,54.7879982,140.5500031,109.0400009,184.3300018,34.90512466,91.18000031,60.79349899,159.5800018,160.1000061,27.91726112,55.20399857,141.1399994,110.0299988,186.2100067,35.02846146,91.76999664,60.23300171,157.0200043,157.3500061,27.45363808,54.71300125,140.2200012,108.1999969,184.1000061,34.72485733,90.61000061,60.25,157.8899994,159.1999969,27.79600525,54.85449982,140.4499969,108.3600006,184.8999939,34.82922363,90.83000183,60442000,4865800,1747000,6630619,26052000,4837600,12953700,13880900,13046517,6322500
05/01/2018,61.45700073,138.0359192,144.2437592,21.35848236,55.31398392,117.7430267,89.34934998,186.1389618,26.28222275,75.76971436,61.45700073,161.9600067,160.3200073,27.23965836,55.51449966,141.7100067,108.3399963,186.8500061,34.97153854,91.23999786,61.45700073,162.0500031,160.4700012,27.69614792,55.67900085,141.8200073,109.5500031,186.8999939,34.99051285,91.30000305,60.5,159.6399994,156.5899963,27.15406609,55.09000015,140.2799988,107.7799988,184.9299927,34.73434448,90.56999969,60.87549973,160.2599945,159.8000031,27.61768913,55.17250061,140.6900024,109.2600021,185.5899963,34.93358612,91.26999664,70894000,3945400,1574400,10013224,30250000,6158800,14155000,13574500,13167517,5949700
08/01/2018,62.34349823,141.5047607,144.9544678,21.58778191,55.50927353,117.8925934,89.48130798,187.5635223,25.98988152,76.16832733,62.34349823,166.0299988,161.1100006,27.53209686,55.71049881,141.8899994,108.5,188.2799988,34.58254242,91.72000122,62.65399933,166.4299927,161.1799927,27.72467995,55.95800018,142,108.6800003,188.8999939,34.91461182,91.76999664,61.60150146,162.5500031,158.8999939,27.26818848,55.5,140.9199982,107.6999969,186.3300018,34.46869278,90.93000031,61.79999924,164.1100006,160.0500031,27.30385208,55.54999924,141.6999969,108.1500015,187.1999969,34.83871078,90.93000031,85590000,5929200,2711800,15116925,24644000,5129800,12466500,17994700,19964341,4860700
09/01/2018,62.63499832,141.8457031,148.9942322,21.34170723,55.43852997,119.7620163,89.93490601,187.1550598,25.96135902,75.61193085,62.63499832,166.4299927,165.6000061,27.21825981,55.63949966,144.1399994,109.0500031,187.8699951,34.54459381,91.05000305,62.96649933,167.4100037,165.9799957,27.58202553,55.92200089,145.6799927,109.6299973,188.8000031,34.76280975,91.65000153,62.08800125,165.0899963,161.5200043,26.91868782,55.40999985,142.2599945,108.4899979,187.1000061,34.49715424,91.01000214,62.84500122,166.3300018,162.0099945,27.49643326,55.92200089,142.3699951,108.7200012,188.6999969,34.57305527,91.47000122,73226000,4522900,4345200,10745349,26808000,8897000,13292300,12393100,16876226,6630100
10/01/2018,62.71649933,141.3684082,148.4004364,21.22426224,55.30650711,119.6207886,90.92455292,187.1251831,26.00413895,75.13028717,62.71649933,165.8699951,164.9400024,27.06847382,55.50699997,143.9700012,110.25,187.8399963,34.60151672,90.47000122,62.71649933,167.5299988,168.4400024,27.34664726,55.63899994,144.1600037,110.6999969,187.8899994,34.73434448,90.91000366,61.86149979,164.5,164.1000061,26.97574806,55.19900131,143.3200073,109.3899994,185.6300049,34.44971466,90.01000214,62.25749969,165.8999939,166.7400055,27.11840248,55.34999847,143.5500031,109.4700012,186.9400024,34.47817612,90.91000366,53720000,5478600,5473700,6890550,20734000,6558600,15834500,10529900,18755825,6564700
11/01/2018,63.83399963,144.2065125,150.6677094,21.48152161,55.40166473,120.3020859,91.41113281,187.0554657,26.06831932,74.86452484,63.83399963,169.1999969,167.4600067,27.39657593,55.60250092,144.7899933,110.8399963,187.7700043,34.68690872,90.15000153,63.83850098,169.5299988,167.5500031,27.63195419,55.74250031,144.8999939,110.9300003,188.3999939,34.81973267,90.51999664,62.82300186,165.6399994,163.7700043,27.13979912,55.32400131,143.6900024,110.0500031,187.3800049,34.55408096,89.91999817,62.98699951,166.8999939,165.1300049,27.2610569,55.6155014,144.1300049,110.6699982,188.3999939,34.76280975,90.40000153,62500000,4199000,1958200,10419524,22424000,4962200,13676800,9588600,15102555,5469700
12/01/2018,65.26000214,145.1440582,152.3232269,21.47033119,56.32830429,121.1080093,92.92034912,178.6874237,26.05405426,74.41608429,65.26000214,170.3000031,169.3000031,27.38231087,56.53250122,145.7599945,112.6699982,179.3699951,34.6679306,89.61000061,65.28800201,170.6699982,170.7299957,27.52496338,56.56499863,146.4199982,112.8499985,181.4799957,34.91461182,90.33999634,63.66949844,169.2299957,167.9600067,27.1112709,55.40050125,144.8999939,110.8399963,177.3999939,34.59202957,89.34999847,63.66949844,169.9900055,168.4499969,27.33951569,55.50500107,144.9900055,111.6500015,178.0599976,34.7533226,90.05000305,108874000,4127900,2316500,7143470,38586000,5450600,18884200,77551300,20240700,8111000
16/01/2018,65.24299622,144.3002625,150.7396851,21.5150795,56.33079529,122.0219879,92.59047699,177.7111511,26.09683037,74.92266083,65.24299622,169.3099976,167.5399933,27.43937111,56.53499985,146.8600006,112.2699966,178.3899994,34.72485733,90.22000122,66.99700165,173.2400055,170.6100006,27.68901634,57.44400024,148.0599976,113.4300003,181.75,35.08538818,90.76999664,64.61499786,167.5700073,166.3600006,27.17546463,56.33300018,146.0299988,111.0699997,178.0399933,34.60151672,89.63999939,66.15000153,172.8999939,170.1499939,27.43937111,57.01549911,146.4199982,111.5100021,181.5,34.69639587,90.13999939,144414000,8530600,2046100,10847695,36462000,8804000,22703300,36183800,30536699,9465300
